Chromosome	Start	Ratio	MedianRatio	CopyNumber
1	3100001	1.08193	1.04879	4
1	3150001	1.06686	1.04879	4
1	3200001	1.06407	1.04879	4
1	3250001	1.00857	1.04879	4
1	3300001	1.04288	1.04879	4
1	3350001	1.00963	1.04879	4
1	3400001	1.06912	1.04879	4
1	3450001	1.03534	1.04879	4
1	3500001	1.05855	1.04879	4
1	3550001	1.07452	1.04879	4
1	3600001	1.08513	1.04879	4
1	3650001	1.02972	1.04879	4
1	3700001	1.03934	1.04879	4
1	3750001	1.03119	1.04879	4
1	3800001	0.993977	1.04879	4
1	3850001	1.05318	1.04879	4
1	3900001	1.0299	1.04879	4
1	3950001	1.11566	1.04879	4
1	4000001	1.02523	1.04879	4
1	4050001	1.05449	1.04879	4
1	4100001	1.08234	1.04879	4
1	4150001	1.01241	1.04879	4
1	4200001	0.985368	1.04879	4
1	4250001	1.02922	1.04879	4
1	4300001	1.05056	1.04879	4
1	4350001	1.09968	1.04879	4
1	4400001	1.02683	1.04879	4
1	4450001	1.02758	1.04879	4
1	4500001	1.08498	1.04879	4
1	4550001	0.988268	1.04879	4
1	4600001	1.03317	1.04879	4
1	4650001	0.994257	1.04879	4
1	4700001	1.03256	1.04879	4
1	4750001	1.02487	1.04879	4
1	4800001	1.06509	1.04879	4
1	4850001	1.16423	1.04879	4
1	4900001	1.08594	1.04879	4
1	4950001	1.08958	1.04879	4
1	5000001	1.08768	1.04879	4
1	5050001	1.01261	1.04879	4
1	5100001	0.999762	1.04879	4
1	5150001	1.07261	1.04879	4
1	5200001	1.00664	1.04879	4
1	5250001	1.09641	1.04879	4
1	5300001	1.08294	1.04879	4
1	5350001	1.03145	1.04879	4
1	5400001	1.11091	1.04879	4
1	5450001	1.04742	1.04879	4
1	5500001	1.00265	1.04879	4
1	5550001	1.04458	1.04879	4
1	5600001	1.03939	1.04879	4
1	5650001	1.0362	1.04879	4
1	5700001	1.05533	1.04879	4
1	5750001	1.05119	1.04879	4
1	5800001	1.05896	1.04879	4
1	5850001	1.01615	1.04879	4
1	5900001	1.03927	1.04879	4
1	5950001	1.06159	1.04879	4
1	6000001	1.08382	1.04879	4
1	6050001	1.11475	1.04879	4
1	6100001	1.16531	1.04879	4
1	6150001	1.10281	1.04879	4
1	6200001	1.06273	1.04879	4
1	6250001	1.01257	1.04879	4
1	6300001	1.07686	1.04879	4
1	6350001	1.04597	1.04879	4
1	6400001	0.974455	1.04879	4
1	6450001	1.07185	1.04879	4
1	6500001	1.05437	1.04879	4
1	6550001	1.13075	1.04879	4
1	6600001	1.04843	1.04879	4
1	6650001	1.09208	1.04879	4
1	6700001	0.989402	1.04879	4
1	6750001	0.996072	1.04879	4
1	6800001	1.08627	1.04879	4
1	6850001	1.04552	1.04879	4
1	6900001	1.03822	1.04879	4
1	6950001	1.07676	1.04879	4
1	7000001	1.07782	1.04879	4
1	7050001	1.06762	1.04879	4
1	7100001	1.02767	1.04879	4
1	7150001	1.05568	1.04879	4
1	7200001	0.996941	1.04879	4
1	7250001	1.03671	1.04879	4
1	7300001	1.02863	1.04879	4
1	7350001	1.06207	1.04879	4
1	7400001	0.98614	1.04879	4
1	7450001	1.07598	1.04879	4
1	7500001	0.995711	1.04879	4
1	7550001	1.02387	1.04879	4
1	7600001	1.07471	1.04879	4
1	7650001	1.05487	1.04879	4
1	7700001	1.0267	1.04879	4
1	7750001	1.03752	1.04879	4
1	7800001	1.02728	1.04879	4
1	7850001	1.0894	1.04879	4
1	7900001	1.00601	1.04879	4
1	7950001	1.0843	1.04879	4
1	8000001	1.0847	1.04879	4
1	8050001	1.08943	1.04879	4
1	8100001	1.06329	1.04879	4
1	8150001	1.07347	1.04879	4
1	8200001	1.04459	1.04879	4
1	8250001	1.04225	1.04879	4
1	8300001	1.06074	1.04879	4
1	8350001	1.02935	1.04879	4
1	8400001	1.12078	1.04879	4
1	8450001	1.0502	1.04879	4
1	8500001	1.07815	1.04879	4
1	8550001	1.04593	1.04879	4
1	8600001	1.04341	1.04879	4
1	8650001	1.01971	1.04879	4
1	8700001	1.07398	1.04879	4
1	8750001	1.03224	1.04879	4
1	8800001	1.07421	1.04879	4
1	8850001	1.05109	1.04879	4
1	8900001	1.0285	1.04879	4
1	8950001	1.0467	1.04879	4
1	9000001	1.06479	1.04879	4
1	9050001	1.03814	1.04879	4
1	9100001	1.05652	1.04879	4
1	9150001	1.10157	1.04879	4
1	9200001	1.07118	1.04879	4
1	9250001	1.09887	1.04879	4
1	9300001	1.06066	1.04879	4
1	9350001	1.02942	1.04879	4
1	9400001	1.04486	1.04879	4
1	9450001	1.12242	1.04879	4
1	9500001	1.10397	1.04879	4
1	9550001	1.05572	1.04879	4
1	9600001	1.08577	1.04879	4
1	9650001	1.06286	1.04879	4
1	9700001	1.06535	1.04879	4
1	9750001	1.01502	1.04879	4
1	9800001	1.05374	1.04879	4
1	9850001	1.08698	1.04879	4
1	9900001	1.06183	1.04879	4
1	9950001	1.06075	1.04879	4
1	10000001	1.10637	1.04879	4
1	10050001	1.06479	1.04879	4
1	10100001	1.05926	1.04879	4
1	10150001	1.03243	1.04879	4
1	10200001	1.03346	1.04879	4
1	10250001	1.06119	1.04879	4
1	10300001	1.04712	1.04879	4
1	10350001	1.01446	1.04879	4
1	10400001	1.04351	1.04879	4
1	10450001	1.09172	1.04879	4
1	10500001	1.06143	1.04879	4
1	10550001	1.00586	1.04879	4
1	10600001	1.05101	1.04879	4
1	10650001	1.00937	1.04879	4
1	10700001	1.06225	1.04879	4
1	10750001	1.02033	1.04879	4
1	10800001	1.05724	1.04879	4
1	10850001	0.998281	1.04879	4
1	10900001	1.05635	1.04879	4
1	10950001	1.0231	1.04879	4
1	11000001	1.09871	1.04879	4
1	11050001	0.964662	1.04879	4
1	11100001	1.02241	1.04879	4
1	11150001	1.02229	1.04879	4
1	11200001	1.0465	1.04879	4
1	11250001	1.05166	1.04879	4
1	11300001	1.06594	1.04879	4
1	11350001	1.07045	1.04879	4
1	11400001	1.03134	1.04879	4
1	11450001	1.05549	1.04879	4
1	11500001	0.970027	1.04879	4
1	11550001	1.06666	1.04879	4
1	11600001	1.01731	1.04879	4
1	11650001	1.06286	1.04879	4
1	11700001	1.06923	1.04879	4
1	11750001	1.02701	1.04879	4
1	11800001	1.02056	1.04879	4
1	11850001	1.04418	1.04879	4
1	11900001	1.03423	1.04879	4
1	11950001	1.06049	1.04879	4
1	12000001	1.09317	1.04879	4
1	12050001	1.05168	1.04879	4
1	12100001	1.11865	1.04879	4
1	12150001	1.08029	1.04879	4
1	12200001	1.02444	1.04879	4
1	12250001	1.00411	1.04879	4
1	12300001	1.07047	1.04879	4
1	12350001	1.03701	1.04879	4
1	12400001	1.04239	1.04879	4
1	12450001	1.08245	1.04879	4
1	12500001	1.08575	1.04879	4
1	12550001	1.10022	1.04879	4
1	12600001	1.03409	1.04879	4
1	12650001	1.07528	1.04879	4
1	12700001	1.03501	1.04879	4
1	12750001	1.00666	1.04879	4
1	12800001	1.06279	1.04879	4
1	12850001	1.01606	1.04879	4
1	12900001	1.00676	1.04879	4
1	12950001	-1	1.04879	4
1	13000001	1.02334	1.04879	4
1	13050001	1.05284	1.04879	4
1	13100001	1.02694	1.04879	4
1	13150001	1.01985	1.04879	4
1	13200001	1.00813	1.04879	4
1	13250001	1.03053	1.04879	4
1	13300001	1.02587	1.04879	4
1	13350001	1.07117	1.04879	4
1	13400001	1.06771	1.04879	4
1	13450001	1.02139	1.04879	4
1	13500001	1.10245	1.04879	4
1	13550001	1.02429	1.04879	4
1	13600001	1.04609	1.04879	4
1	13650001	1.03336	1.04879	4
1	13700001	0.9695	1.04879	4
1	13750001	1.14534	1.04879	4
1	13800001	1.04455	1.04879	4
1	13850001	1.04977	1.04879	4
1	13900001	1.06021	1.04879	4
1	13950001	1.03903	1.04879	4
1	14000001	1.02423	1.04879	4
1	14050001	1.05422	1.04879	4
1	14100001	1.05078	1.04879	4
1	14150001	1.01102	1.04879	4
1	14200001	1.0617	1.04879	4
1	14250001	1.08814	1.04879	4
1	14300001	0.980964	1.04879	4
1	14350001	1.07987	1.04879	4
1	14400001	1.06325	1.04879	4
1	14450001	1.07893	1.04879	4
1	14500001	1.06077	1.04879	4
1	14550001	1.04241	1.04879	4
1	14600001	1.05839	1.04879	4
1	14650001	1.0422	1.04879	4
1	14700001	1.15812	1.04879	4
1	14750001	1.06215	1.04879	4
1	14800001	1.07744	1.04879	4
1	14850001	1.04117	1.04879	4
1	14900001	1.06787	1.04879	4
1	14950001	1.10114	1.04879	4
1	15000001	1.00638	1.04879	4
1	15050001	1.04644	1.04879	4
1	15100001	1.08125	1.04879	4
1	15150001	1.05601	1.04879	4
1	15200001	1.01321	1.04879	4
1	15250001	1.05405	1.04879	4
1	15300001	1.10637	1.04879	4
1	15350001	1.00728	1.04879	4
1	15400001	1.11549	1.04879	4
1	15450001	1.06073	1.04879	4
1	15500001	1.0083	1.04879	4
1	15550001	1.05037	1.04879	4
1	15600001	1.00853	1.04879	4
1	15650001	1.05548	1.04879	4
1	15700001	1.02703	1.04879	4
1	15750001	1.07928	1.04879	4
1	15800001	1.0681	1.04879	4
1	15850001	1.0027	1.04879	4
1	15900001	1.02852	1.04879	4
1	15950001	1.03991	1.04879	4
1	16000001	1.01929	1.04879	4
1	16050001	1.06593	1.04879	4
1	16100001	1.0641	1.04879	4
1	16150001	1.10495	1.04879	4
1	16200001	1.06346	1.04879	4
1	16250001	1.12557	1.04879	4
1	16300001	1.06423	1.04879	4
1	16350001	1.06697	1.04879	4
1	16400001	1.08672	1.04879	4
1	16450001	1.01842	1.04879	4
1	16500001	1.02268	1.04879	4
1	16550001	1.07434	1.04879	4
1	16600001	1.00581	1.04879	4
1	16650001	1.06283	1.04879	4
1	16700001	1.03707	1.04879	4
1	16750001	1.00501	1.04879	4
1	16800001	-1	1.04879	4
1	16850001	1.03701	1.04879	4
1	16900001	1.0229	1.04879	4
1	16950001	1.06716	1.04879	4
1	17000001	1.04724	1.04879	4
1	17050001	1.03297	1.04879	4
1	17100001	1.0736	1.04879	4
1	17150001	1.02752	1.04879	4
1	17200001	1.03019	1.04879	4
1	17250001	1.09755	1.04879	4
1	17300001	1.0578	1.04879	4
1	17350001	1.11718	1.04879	4
1	17400001	1.00451	1.04879	4
1	17450001	1.05415	1.04879	4
1	17500001	1.07443	1.04879	4
1	17550001	1.08685	1.04879	4
1	17600001	1.04727	1.04879	4
1	17650001	1.08882	1.04879	4
1	17700001	1.01623	1.04879	4
1	17750001	1.06349	1.04879	4
1	17800001	1.06936	1.04879	4
1	17850001	1.08579	1.04879	4
1	17900001	1.01054	1.04879	4
1	17950001	0.990292	1.04879	4
1	18000001	1.03882	1.04879	4
1	18050001	1.07935	1.04879	4
1	18100001	1.05877	1.04879	4
1	18150001	1.11466	1.04879	4
1	18200001	1.09922	1.04879	4
1	18250001	1.0672	1.04879	4
1	18300001	1.13134	1.04879	4
1	18350001	1.1437	1.04879	4
1	18400001	1.06038	1.04879	4
1	18450001	1.02137	1.04879	4
1	18500001	1.02259	1.04879	4
1	18550001	1.02317	1.04879	4
1	18600001	1.01103	1.04879	4
1	18650001	1.09956	1.04879	4
1	18700001	1.05518	1.04879	4
1	18750001	1.03557	1.04879	4
1	18800001	1.02546	1.04879	4
1	18850001	1.05854	1.04879	4
1	18900001	1.09266	1.04879	4
1	18950001	1.06445	1.04879	4
1	19000001	1.04024	1.04879	4
1	19050001	1.03696	1.04879	4
1	19100001	1.05846	1.04879	4
1	19150001	1.06357	1.04879	4
1	19200001	1.1068	1.04879	4
1	19250001	1.0233	1.04879	4
1	19300001	1.01548	1.04879	4
1	19350001	1.03538	1.04879	4
1	19400001	1.06515	1.04879	4
1	19450001	1.04633	1.04879	4
1	19500001	1.01668	1.04879	4
1	19550001	1.04193	1.04879	4
1	19600001	1.04013	1.04879	4
1	19650001	1.07396	1.04879	4
1	19700001	1.11217	1.04879	4
1	19750001	1.05606	1.04879	4
1	19800001	1.019	1.04879	4
1	19850001	1.07406	1.04879	4
1	19900001	1.05409	1.04879	4
1	19950001	1.09903	1.04879	4
1	20000001	1.035	1.04879	4
1	20050001	1.07613	1.04879	4
1	20100001	1.07322	1.04879	4
1	20150001	1.02099	1.04879	4
1	20200001	1.0893	1.04879	4
1	20250001	1.14899	1.04879	4
1	20300001	1.1035	1.04879	4
1	20350001	1.06023	1.04879	4
1	20400001	1.06449	1.04879	4
1	20450001	1.05099	1.04879	4
1	20500001	1.0229	1.04879	4
1	20550001	1.07167	1.04879	4
1	20600001	1.08458	1.04879	4
1	20650001	1.03336	1.04879	4
1	20700001	0.979448	1.04879	4
1	20750001	0.989176	1.04879	4
1	20800001	0.982245	1.04879	4
1	20850001	0.998261	1.04879	4
1	20900001	1.04855	1.04879	4
1	20950001	1.09861	1.04879	4
1	21000001	1.0399	1.04879	4
1	21050001	0.996818	1.04879	4
1	21100001	1.08497	1.04879	4
1	21150001	1.0259	1.04879	4
1	21200001	1.05709	1.04879	4
1	21250001	1.11009	1.04879	4
1	21300001	1.08231	1.04879	4
1	21350001	1.09639	1.04879	4
1	21400001	1.02199	1.04879	4
1	21450001	1.05653	1.04879	4
1	21500001	1.02108	1.04879	4
1	21550001	1.08764	1.04879	4
1	21600001	1.10694	1.04879	4
1	21650001	1.02576	1.04879	4
1	21700001	1.07228	1.04879	4
1	21750001	1.00597	1.04879	4
1	21800001	1.0325	1.04879	4
1	21850001	1.05208	1.04879	4
1	21900001	1.05538	1.04879	4
1	21950001	1.03748	1.04879	4
1	22000001	1.05427	1.04879	4
1	22050001	1.0678	1.04879	4
1	22100001	1.05638	1.04879	4
1	22150001	0.998491	1.04879	4
1	22200001	1.05891	1.04879	4
1	22250001	1.06683	1.04879	4
1	22300001	1.06666	1.04879	4
1	22350001	1.017	1.04879	4
1	22400001	1.08341	1.04879	4
1	22450001	0.986968	1.04879	4
1	22500001	1.04428	1.04879	4
1	22550001	1.10315	1.04879	4
1	22600001	1.07663	1.04879	4
1	22650001	1.03964	1.04879	4
1	22700001	1.08845	1.04879	4
1	22750001	1.05237	1.04879	4
1	22800001	1.09443	1.04879	4
1	22850001	1.05247	1.04879	4
1	22900001	1.01469	1.04879	4
1	22950001	1.02602	1.04879	4
1	23000001	1.01935	1.04879	4
1	23050001	1.07968	1.04879	4
1	23100001	1.04922	1.04879	4
1	23150001	1.05756	1.04879	4
1	23200001	1.06352	1.04879	4
1	23250001	1.08246	1.04879	4
1	23300001	1.0806	1.04879	4
1	23350001	1.05862	1.04879	4
1	23400001	1.01094	1.04879	4
1	23450001	1.02899	1.04879	4
1	23500001	1.02009	1.04879	4
1	23550001	1.09008	1.04879	4
1	23600001	1.05873	1.04879	4
1	23650001	1.06494	1.04879	4
1	23700001	1.00066	1.04879	4
1	23750001	1.07599	1.04879	4
1	23800001	1.05235	1.04879	4
1	23850001	1.08545	1.04879	4
1	23900001	1.08041	1.04879	4
1	23950001	0.981216	1.04879	4
1	24000001	1.02257	1.04879	4
1	24050001	1.09459	1.04879	4
1	24100001	1.08251	1.04879	4
1	24150001	1.01641	1.04879	4
1	24200001	1.0319	1.04879	4
1	24250001	1.0078	1.04879	4
1	24300001	1.01909	1.04879	4
1	24350001	1.02305	1.04879	4
1	24400001	1.02721	1.04879	4
1	24450001	1.04173	1.04879	4
1	24500001	1.04131	1.04879	4
1	24550001	1.05556	1.04879	4
1	24600001	1.04337	1.04879	4
1	24650001	1.08766	1.04879	4
1	24700001	1.02973	1.04879	4
1	24750001	1.03902	1.04879	4
1	24800001	1.04251	1.04879	4
1	24850001	0.976822	1.04879	4
1	24900001	1.03078	1.04879	4
1	24950001	1.04039	1.04879	4
1	25000001	1.00202	1.04879	4
1	25050001	1.07348	1.04879	4
1	25100001	1.05431	1.04879	4
1	25150001	0.969261	1.04879	4
1	25200001	1.02826	1.04879	4
1	25250001	1.09178	1.04879	4
1	25300001	1.07147	1.04879	4
1	25350001	1.01879	1.04879	4
1	25400001	1.01876	1.04879	4
1	25450001	1.03948	1.04879	4
1	25500001	1.01746	1.04879	4
1	25550001	1.02424	1.04879	4
1	25600001	1.01649	1.04879	4
1	25650001	1.12982	1.04879	4
1	25700001	1.07441	1.04879	4
1	25750001	1.11372	1.04879	4
1	25800001	1.0614	1.04879	4
1	25850001	1.05814	1.04879	4
1	25900001	1.04212	1.04879	4
1	25950001	1.01969	1.04879	4
1	26000001	1.07492	1.04879	4
1	26050001	1.10029	1.04879	4
1	26100001	0.996726	1.04879	4
1	26150001	1.06116	1.04879	4
1	26200001	1.03593	1.04879	4
1	26250001	1.06775	1.04879	4
1	26300001	1.05067	1.04879	4
1	26350001	1.05564	1.04879	4
1	26400001	0.991758	1.04879	4
1	26450001	1.02415	1.04879	4
1	26500001	1.05193	1.04879	4
1	26550001	1.0546	1.04879	4
1	26600001	1.02853	1.04879	4
1	26650001	1.04674	1.04879	4
1	26700001	1.16301	1.04879	4
1	26750001	1.09294	1.04879	4
1	26800001	1.0183	1.04879	4
1	26850001	1.04104	1.04879	4
1	26900001	1.07597	1.04879	4
1	26950001	1.05842	1.04879	4
1	27000001	1.13366	1.04879	4
1	27050001	1.06803	1.04879	4
1	27100001	1.07115	1.04879	4
1	27150001	1.00466	1.04879	4
1	27200001	1.04713	1.04879	4
1	27250001	0.965069	1.04879	4
1	27300001	0.984719	1.04879	4
1	27350001	1.02931	1.04879	4
1	27400001	1.03188	1.04879	4
1	27450001	1.0314	1.04879	4
1	27500001	1.02937	1.04879	4
1	27550001	1.07794	1.04879	4
1	27600001	1.15914	1.04879	4
1	27650001	1.03437	1.04879	4
1	27700001	1.11819	1.04879	4
1	27750001	1.04628	1.04879	4
1	27800001	1.00217	1.04879	4
1	27850001	1.09905	1.04879	4
1	27900001	1.03038	1.04879	4
1	27950001	1.06944	1.04879	4
1	28000001	1.04909	1.04879	4
1	28050001	1.10862	1.04879	4
1	28100001	1.09879	1.04879	4
1	28150001	1.06397	1.04879	4
1	28200001	1.01575	1.04879	4
1	28250001	1.05485	1.04879	4
1	28300001	0.999853	1.04879	4
1	28350001	1.03406	1.04879	4
1	28400001	1.05652	1.04879	4
1	28450001	0.981121	1.04879	4
1	28500001	1.07953	1.04879	4
1	28550001	1.04629	1.04879	4
1	28600001	1.04398	1.04879	4
1	28650001	1.07596	1.04879	4
1	28700001	1.03865	1.04879	4
1	28750001	1.00643	1.04879	4
1	28800001	1.0733	1.04879	4
1	28850001	1.09041	1.04879	4
1	28900001	1.0296	1.04879	4
1	28950001	1.04949	1.04879	4
1	29000001	1.06404	1.04879	4
1	29050001	1.00016	1.04879	4
1	29100001	1.03067	1.04879	4
1	29150001	0.969414	1.04879	4
1	29200001	1.03685	1.04879	4
1	29250001	1.1468	1.04879	4
1	29300001	1.09773	1.04879	4
1	29350001	1.03409	1.04879	4
1	29400001	1.03453	1.04879	4
1	29450001	1.02694	1.04879	4
1	29500001	1.05631	1.04879	4
1	29550001	1.06671	1.04879	4
1	29600001	1.01927	1.04879	4
1	29650001	1.05697	1.04879	4
1	29700001	1.049	1.04879	4
1	29750001	1.02638	1.04879	4
1	29800001	1.03364	1.04879	4
1	29850001	1.01116	1.04879	4
1	29900001	1.0484	1.04879	4
1	29950001	1.04056	1.04879	4
1	30000001	1.08062	1.04879	4
1	30050001	1.02539	1.04879	4
1	30100001	1.03483	1.04879	4
1	30150001	1.04321	1.04879	4
1	30200001	1.0814	1.04879	4
1	30250001	1.02907	1.04879	4
1	30300001	1.02828	1.04879	4
1	30350001	0.979778	1.04879	4
1	30400001	1.05995	1.04879	4
1	30450001	1.00096	1.04879	4
1	30500001	1.02282	1.04879	4
1	30550001	1.10002	1.04879	4
1	30600001	1.00485	1.04879	4
1	30650001	1.06529	1.04879	4
1	30700001	1.1403	1.04879	4
1	30750001	1.05151	1.04879	4
1	30800001	1.03954	1.04879	4
1	30850001	1.07914	1.04879	4
1	30900001	0.990401	1.04879	4
1	30950001	1.10842	1.04879	4
1	31000001	1.0149	1.04879	4
1	31050001	1.04536	1.04879	4
1	31100001	1.06986	1.04879	4
1	31150001	1.0616	1.04879	4
1	31200001	1.043	1.04879	4
1	31250001	1.05833	1.04879	4
1	31300001	1.08455	1.04879	4
1	31350001	1.04029	1.04879	4
1	31400001	1.02346	1.04879	4
1	31450001	0.990353	1.04879	4
1	31500001	1.07955	1.04879	4
1	31550001	1.0006	1.04879	4
1	31600001	0.988743	1.04879	4
1	31650001	1.06001	1.04879	4
1	31700001	1.04961	1.04879	4
1	31750001	1.09412	1.04879	4
1	31800001	1.03508	1.04879	4
1	31850001	1.04493	1.04879	4
1	31900001	1.06258	1.04879	4
1	31950001	1.04759	1.04879	4
1	32000001	1.06946	1.04879	4
1	32050001	1.06915	1.04879	4
1	32100001	1.03742	1.04879	4
1	32150001	1.08247	1.04879	4
1	32200001	1.08414	1.04879	4
1	32250001	1.08104	1.04879	4
1	32300001	1.10984	1.04879	4
1	32350001	1.00586	1.04879	4
1	32400001	1.0248	1.04879	4
1	32450001	1.08504	1.04879	4
1	32500001	1.05048	1.04879	4
1	32550001	1.07	1.04879	4
1	32600001	1.03862	1.04879	4
1	32650001	1.09043	1.04879	4
1	32700001	1.01301	1.04879	4
1	32750001	1.05283	1.04879	4
1	32800001	1.06218	1.04879	4
1	32850001	1.07946	1.04879	4
1	32900001	1.07893	1.04879	4
1	32950001	1.10028	1.04879	4
1	33000001	1.06163	1.04879	4
1	33050001	1.01989	1.04879	4
1	33100001	1.07315	1.04879	4
1	33150001	1.05933	1.04879	4
1	33200001	1.05474	1.04879	4
1	33250001	1.05949	1.04879	4
1	33300001	1.05983	1.04879	4
1	33350001	1.04991	1.04879	4
1	33400001	1.05006	1.04879	4
1	33450001	1.04376	1.04879	4
1	33500001	1.06271	1.04879	4
1	33550001	1.01577	1.04879	4
1	33600001	1.06616	1.04879	4
1	33650001	1.0112	1.04879	4
1	33700001	0.989171	1.04879	4
1	33750001	0.998927	1.04879	4
1	33800001	1.06731	1.04879	4
1	33850001	1.10123	1.04879	4
1	33900001	1.09703	1.04879	4
1	33950001	1.02721	1.04879	4
1	34000001	1.10104	1.04879	4
1	34050001	1.04052	1.04879	4
1	34100001	0.988048	1.04879	4
1	34150001	1.08669	1.04879	4
1	34200001	1.02542	1.04879	4
1	34250001	1.071	1.04879	4
1	34300001	0.960193	1.04879	4
1	34350001	1.06257	1.04879	4
1	34400001	1.09016	1.04879	4
1	34450001	1.13426	1.04879	4
1	34500001	0.992638	1.04879	4
1	34550001	1.03489	1.04879	4
1	34600001	1.04312	1.04879	4
1	34650001	1.04216	1.04879	4
1	34700001	1.08702	1.04879	4
1	34750001	1.0729	1.04879	4
1	34800001	1.06001	1.04879	4
1	34850001	1.02207	1.04879	4
1	34900001	0.998188	1.04879	4
1	34950001	0.963147	1.04879	4
1	35000001	0.997938	1.04879	4
1	35050001	1.05871	1.04879	4
1	35100001	1.00135	1.04879	4
1	35150001	1.08419	1.04879	4
1	35200001	1.11996	1.04879	4
1	35250001	1.0106	1.04879	4
1	35300001	0.998381	1.04879	4
1	35350001	1.02742	1.04879	4
1	35400001	0.987033	1.04879	4
1	35450001	1.02607	1.04879	4
1	35500001	1.06821	1.04879	4
1	35550001	1.03327	1.04879	4
1	35600001	1.06196	1.04879	4
1	35650001	1.07878	1.04879	4
1	35700001	1.09937	1.04879	4
1	35750001	1.0253	1.04879	4
1	35800001	1.02323	1.04879	4
1	35850001	1.0514	1.04879	4
1	35900001	0.985349	1.04879	4
1	35950001	0.982364	1.04879	4
1	36000001	1.04098	1.04879	4
1	36050001	0.962483	1.04879	4
1	36100001	1.1311	1.04879	4
1	36150001	1.0747	1.04879	4
1	36200001	1.08222	1.04879	4
1	36250001	1.08869	1.04879	4
1	36300001	1.08436	1.04879	4
1	36350001	1.03397	1.04879	4
1	36400001	1.02144	1.04879	4
1	36450001	1.04628	1.04879	4
1	36500001	0.999968	1.04879	4
1	36550001	1.03397	1.04879	4
1	36600001	1.06276	1.04879	4
1	36650001	1.07657	1.04879	4
1	36700001	1.04606	1.04879	4
1	36750001	1.06115	1.04879	4
1	36800001	1.03775	1.04879	4
1	36850001	1.05738	1.04879	4
1	36900001	1.07594	1.04879	4
1	36950001	1.09194	1.04879	4
1	37000001	1.09422	1.04879	4
1	37050001	1.05195	1.04879	4
1	37100001	1.06127	1.04879	4
1	37150001	0.990033	1.04879	4
1	37200001	1.01467	1.04879	4
1	37250001	1.13144	1.04879	4
1	37300001	1.08756	1.04879	4
1	37350001	1.02925	1.04879	4
1	37400001	1.04874	1.04879	4
1	37450001	1.02848	1.04879	4
1	37500001	0.959693	1.04879	4
1	37550001	1.07635	1.04879	4
1	37600001	1.06819	1.04879	4
1	37650001	1.02876	1.04879	4
1	37700001	1.03286	1.04879	4
1	37750001	0.980014	1.04879	4
1	37800001	1.0139	1.04879	4
1	37850001	1.04753	1.04879	4
1	37900001	1.02866	1.04879	4
1	37950001	1.05172	1.04879	4
1	38000001	1.01276	1.04879	4
1	38050001	1.06957	1.04879	4
1	38100001	1.05296	1.04879	4
1	38150001	1.01522	1.04879	4
1	38200001	1.17444	1.04879	4
1	38250001	1.08345	1.04879	4
1	38300001	1.02185	1.04879	4
1	38350001	1.07816	1.04879	4
1	38400001	0.98215	1.04879	4
1	38450001	1.0515	1.04879	4
1	38500001	1.07252	1.04879	4
1	38550001	1.06278	1.04879	4
1	38600001	1.04682	1.04879	4
1	38650001	1.06844	1.04879	4
1	38700001	1.07466	1.04879	4
1	38750001	1.04107	1.04879	4
1	38800001	1.04977	1.04879	4
